route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,city_id,date
A,3,3_11622794,SOŁTYSOWICE,1,825602,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622894,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623004,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623006,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623008,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623010,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623012,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623014,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623016,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623022,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623024,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623026,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623028,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623030,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623032,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623035,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623037,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623039,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623041,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623043,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623045,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623047,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623050,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623052,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623054,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623056,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623058,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623060,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623062,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623066,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623068,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623070,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623072,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623074,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623076,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623078,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623064,Zajezdnia Obornicka,1,826261,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623033,Zajezdnia Obornicka,0,826262,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623048,Zajezdnia Obornicka,0,826262,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623079,Zajezdnia Obornicka,0,826262,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622792,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622843,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622892,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623020,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622844,KRZYKI,0,827196,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623003,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623034,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623049,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623065,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622793,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11622893,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623005,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623007,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623009,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623011,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623013,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623015,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623017,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623021,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623023,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623025,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623027,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623029,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623031,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623036,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623038,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623040,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623042,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623044,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623046,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623051,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623053,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623055,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623057,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623059,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623061,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623063,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623067,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623069,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623071,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623073,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623075,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,3,3_11623077,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625748,SOŁTYSOWICE,1,825602,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625834,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625949,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625951,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625953,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625955,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625957,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625959,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625961,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625967,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625969,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625971,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625973,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625975,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625977,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625980,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625982,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625984,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625986,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625988,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625990,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625992,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625995,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625997,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625999,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626001,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626003,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626005,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626007,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626011,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626013,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626015,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626017,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626019,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626021,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626023,KOSZAROWA (Szpital),1,826046,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626009,Zajezdnia Obornicka,1,826261,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625978,Zajezdnia Obornicka,0,826262,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625993,Zajezdnia Obornicka,0,826262,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626024,Zajezdnia Obornicka,0,826262,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625746,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625793,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625832,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625965,KOSZAROWA (Szpital),1,826263,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625794,KRZYKI,0,827196,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625948,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625979,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625994,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11626010,KRZYKI,0,827197,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625747,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625833,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625950,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625952,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625954,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625956,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625958,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625960,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625962,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
A,4,4_11625966,KRZYKI,0,827211,1,2023-01-10 11:39:08.146227+00:00
