stop_id,stop_code,stop_name,stop_lat,stop_lon,city_id,date
2409,SDPOL01,Swarzędz/Polna,52.4084140000,17.0841950000,2,2023-01-10 11:39:13.185385+00:00
4061,TLLZA02,Trzcielin/Leśne Zacisze,52.3276247381,16.6732146842,2,2023-01-10 11:39:13.185385+00:00
236,RSTA43,Rondo Starołęka,52.3805416700,16.9421001900,2,2023-01-10 11:39:13.185385+00:00
321,SZKL01,Szklarniowa,52.4775378300,16.9066457200,2,2023-01-10 11:39:13.185385+00:00
1745,PLSKR01,Plewiska/Skryta,52.3716588700,16.8169676000,2,2023-01-10 11:39:13.185385+00:00
4085,RKBUK01,Rokietnica/Bukowa,52.4978860000,16.7339090000,2,2023-01-10 11:39:13.185385+00:00
2619,KDREJ02,Kórnik/Reja,52.2534708300,17.0819317500,2,2023-01-10 11:39:13.185385+00:00
2496,SOSN01,Sośnicka,52.4057000000,17.0419430000,2,2023-01-10 11:39:13.185385+00:00
3704,BOKRE02,Bolechowo/Kręta,52.5432544639,16.9947082027,2,2023-01-10 11:39:13.185385+00:00
63,PONA71,Polna,52.4142148300,16.8972021400,2,2023-01-10 11:39:13.185385+00:00
1163,CHEM01,Chemiczna,52.4277794700,16.9658169700,2,2023-01-10 11:39:13.185385+00:00
1995,ZKZAK02,Zakrzewo/Zakrzewska,52.4057497300,16.7099908500,2,2023-01-10 11:39:13.185385+00:00
319,MOCM01,Morasko Cmentarz,52.4846278500,16.9101536300,2,2023-01-10 11:39:13.185385+00:00
3562,WYSKO01,Wysogotowo/Skórzewska ,52.4022850200,16.7964778700,2,2023-01-10 11:39:13.185385+00:00
1318,DALES01,Daszewice/Leśna,52.3024275300,16.9533250100,2,2023-01-10 11:39:13.185385+00:00
13,BONN42,Bonin,52.4302063000,16.9106352900,2,2023-01-10 11:39:13.185385+00:00
2794,PUNAD02,Puszczykowo/Nadwarciańska,52.2660436900,16.8726870200,2,2023-01-10 11:39:13.185385+00:00
1527,URSZ01,Urszulanek,52.3668445200,16.9833820900,2,2023-01-10 11:39:13.185385+00:00
3622,GLTEC04,Głuchowo/Tęczowa,52.3452700000,16.7758200000,2,2023-01-10 11:39:13.185385+00:00
4084,SYPR02,Sycowska Prologis,52.3591100000,16.8345300000,2,2023-01-10 11:39:13.185385+00:00
1897,ZYSWI01,Żydowo/Świetlica,52.5467373500,16.7543667500,2,2023-01-10 11:39:13.185385+00:00
4202,PODJ01,Podjazdowa,52.4789838792,16.7786574747,2,2023-01-10 11:39:13.185385+00:00
1046,OKUL02,Okulickiego,52.3593689100,16.8813093200,2,2023-01-10 11:39:13.185385+00:00
490,ROSO03,Rondo Solidarności,52.4352952900,16.9372831400,2,2023-01-10 11:39:13.185385+00:00
357,SYPU02,Synów Pułku,52.4598768800,16.8743058000,2,2023-01-10 11:39:13.185385+00:00
4006,OPIA92,Os. Piastowskie,52.3895571818,16.9471740911,2,2023-01-10 11:39:13.185385+00:00
2088,CDOKR01,Ceradz Dolny/Okrężna,52.4259392600,16.5774834100,2,2023-01-10 11:39:13.185385+00:00
1431,AWF05,AWF,52.4008328400,16.9365209600,2,2023-01-10 11:39:13.185385+00:00
1011,FABI01,Fabianowo,52.3653535900,16.8558235000,2,2023-01-10 11:39:13.185385+00:00
251,CHPKM02,Chludowo/PKM,52.5600370600,16.8263996400,2,2023-01-10 11:39:13.185385+00:00
2396,DELES02,Dębogóra/Leśna,52.4974469900,17.0919767300,2,2023-01-10 11:39:13.185385+00:00
261,ZISWI01,Zielątkowo/Świerkowa,52.5544832400,16.7979004100,2,2023-01-10 11:39:13.185385+00:00
328,SLPRO01,Suchy Las/Promienista,52.4783970400,16.8605156100,2,2023-01-10 11:39:13.185385+00:00
2921,PRPLN06,Promnice/Północna,52.5427118000,16.9655759500,2,2023-01-10 11:39:13.185385+00:00
1276,ZOO02,Nowe Zoo,52.4003671000,16.9928965800,2,2023-01-10 11:39:13.185385+00:00
