variant_id,stop_id
774946,1705
797647,1407
797647,1532
797823,1531
797823,1408
805419,73
805422,83
805422,2482
805422,73
805593,1603
805593,1497
805669,4248
805669,2040
805669,1705
806431,1704
806432,1704
806432,2477
806432,4248
806466,1705
806466,4201
807472,1531
809315,1531
809416,1376
809416,1532
809456,1868
809478,1531
809492,1532
809494,1531
809536,1531
809723,568
809723,572
809910,4013
809910,3976
809910,4026
809910,4002
809911,4003
809911,4025
809911,3976
809911,4014
810558,1542
811372,1532
811821,1532
812236,1531
812236,1408
812503,992
812503,1015
812503,1705
812505,1015
812505,1705
812512,992
812512,1015
812516,3871
812516,992
812516,1015
812540,1705
812541,3977
812541,992
812541,1705
813989,1704
813989,149
813990,148
813990,1705
813999,153
813999,148
814095,1897
815232,469
815232,2905
815232,435
815232,1011
815233,469
815233,2905
815233,435
815233,1011
815449,539
815449,527
816354,1151
816354,305
816354,3891
816354,1002
816469,665
816779,1603
816779,1497
816779,2818
816781,2820
816781,1496
816781,1604
816825,1603
816825,1497
816825,2818
817023,2820
817023,1531
817023,1408
817269,1751
817616,3131
817625,636
817724,3421
817724,2275
817725,2276
817725,3415
817726,3421
817726,2275
817727,2276
817727,3415
817735,1215
817735,481
817963,518
817963,436
817963,3134
817968,526
817968,538
818476,1750
818948,1533
818948,4684
818967,568
819028,3895
819095,2342
819128,788
819281,1541
819321,1680
819324,1496
819324,1604
819332,1496
819332,1604
819339,1897
819353,1897
819376,1751
819383,1398
819401,1396
819404,1542
819411,1603
819411,1497
819430,1376
819430,1542
819449,1396
819459,1397
819789,3995
819789,2838
819789,3476
819789,74
819789,1025
819793,74
819793,1025
819795,74
819795,1025
820343,3901
820433,1407
820433,1532
820434,2820
820434,1531
820435,1531
820563,1548
820563,1420
820563,3521
820836,1680
820836,4250
820836,1614
820836,2817
820836,1496
820836,1604
821143,1704
821143,72
821143,1125
821143,4804
821143,114
821177,1542
821177,3523
821177,1419
821177,1547
821177,2536
821210,1680
821210,4250
821210,1614
821210,2817
821211,1680
821211,4250
821211,1614
821211,2817
821224,3522
821224,1419
821224,1547
821224,2536
821228,4685
821228,1534
821251,1541
821365,3901
821437,94
821437,1125
821437,3762
821775,1497
821775,2818
821856,1548
821856,1420
821856,3521
821856,1541
822074,812
822074,3861
822074,4458
822074,4115
822074,4459
822074,4746
822075,4747
822075,4460
822075,4114
822075,4457
822075,3410
822076,812
822076,3861
822076,4458
822076,4463
822077,4429
822077,4464
822077,4457
822077,3410
822084,812
822084,3861
822084,4458
822084,4463
822084,4707
822084,4744
822084,4493
822084,4497
822085,4496
822085,4490
822085,4745
822085,4429
822085,4464
822085,4457
822085,3410
822196,1548
822196,1420
822196,1581
822196,1502
822196,1572
822234,1548
822234,1420
822234,1533
822402,1398
822402,1541
822402,1581
822402,1502
822403,1501
822403,1580
822403,1544
822404,1541
822404,1581
822404,1502
822407,1532
822407,2818
822569,4376
822569,4125
822569,4137
822569,4122
822569,3906
822569,3514
822569,3519
822570,4125
822570,4137
822570,4122
822579,1160
822579,639
822579,3899
822579,1892
822579,604
822579,934
822579,568
822584,1160
822584,639
822584,3899
822584,1892
822584,604
822584,568
822584,1034
822584,1701
822586,1160
822586,639
822586,3899
822586,1892
822586,604
822586,2117
822586,568
822618,1897
823330,788
823330,216
823330,226
823330,240
823330,30
823330,305
823330,3900
823332,304
823332,2531
823332,884
823332,217
823334,216
823334,226
823334,240
823334,30
823334,305
823334,3900
823335,3901
823335,304
823335,2531
823335,884
823335,217
823403,216
823487,255
823487,271
823487,281
823499,1532
823531,1704
823531,149
823531,912
823533,3123
823533,636
823535,4728
823535,4521
823535,3123
823535,636
823537,4521
823537,3123
823537,636
823616,3526
823616,546
823616,613
823668,4125
823668,4137
823668,4122
823668,3906
823668,3514
823668,3519
823672,568
823672,1189
823672,935
823672,707
823672,613
823672,4652
823672,637
823672,644
823672,1329
823672,665
823676,1034
823676,1701
823676,568
823676,1189
823676,935
823676,707
823676,613
823676,4652
823676,637
823676,644
823676,1329
823676,665
823679,568
823679,2117
823679,935
823679,707
823679,613
823679,4652
823679,637
823679,644
823679,1329
823679,665
823699,1407
823699,1532
823699,2818
823699,4684
823699,1679
823699,1502
823699,1572
823721,2818
823721,4684
823721,1679
823721,1502
823721,1572
823731,1501
823731,1580
823731,1544
823731,1397
823733,1398
823734,1397
823809,403
823809,3256
823816,1125
823816,114
823816,211
823818,94
823818,1125
823818,3762
823818,216
823827,799
823827,94
823827,1125
823827,3762
823827,216
823830,114
823830,788
823830,216
823835,255
824127,1750
824156,1548
824156,1420
824156,1581
824156,1502
824156,1572
824369,378
824369,3890
824703,526
824703,538
824704,539
824704,527
824705,526
824705,538
824705,3272
824706,3272
824706,539
824706,527
824746,94
824746,1125
824746,3762
824747,115
824747,91
824782,554
824950,927
825174,1239
825174,281
825174,403
825174,2341
825174,1816
825174,4878
825174,4880
825174,4876
825174,4875
825174,4874
825198,4876
825198,4875
825198,4878
825198,1817
825198,2342
825198,1963
825198,2855
825515,3891
825515,3139
825515,4878
825515,4880
825515,4876
825515,4875
825515,4874
825566,1151
825566,305
825566,3891
825567,1151
825567,305
825567,3891
825602,3933
825602,2863
825602,316
825602,2816
825602,613
825602,3895
825610,2871
825621,818
825621,242
825621,217
825621,2479
825621,115
825622,2479
825622,115
825625,281
825625,403
825625,378
825635,3514
825635,508
825635,480
825635,347
825635,2666
825635,4389
825635,4825
825635,2010
825635,4738
825636,2011
825636,4827
825636,4389
825636,2665
825636,348
825636,481
825636,509
825648,33
825648,4663
825648,538
825649,539
825649,4664
825649,838
825685,1419
825685,1547
825685,2536
825724,1581
825724,1502
825724,1572
825841,3008
825841,891
825841,1138
825841,3412
825841,211
825841,240
825841,3518
825842,3008
825842,891
825842,1138
825842,3412
825842,211
825842,240
825842,3518
826014,2341
826014,375
826014,4413
826015,376
826015,1817
826016,3758
826016,1149
826016,4634
826016,4478
826016,4707
826016,4744
826017,4492
826017,4745
826017,4429
826017,4479
826017,4633
826017,271
826017,3757
826018,2884
826018,1791
826018,4634
826018,4478
826018,4707
826018,4467
826025,812
826025,3861
826025,4458
826025,4115
826025,4709
826025,4481
826025,4678
826025,4461
826025,4746
826027,4747
826027,4462
826027,4678
826027,4480
826027,4710
826027,4114
826027,4457
826027,3410
826045,217
826045,2479
826045,115
826046,3933
826046,2863
826046,316
826046,2816
826046,613
826046,3895
826064,378
826068,509
826068,3526
826068,546
826068,613
826068,3895
826080,636
826080,818
826080,3517
826080,508
826080,3106
826096,3901
826096,281
826114,613
826134,4876
826134,4875
826134,4874
826134,4878
826134,864
826135,94
826135,1125
826135,3762
826135,216
826137,799
826137,94
826137,1125
826137,3762
826138,115
826138,91
826138,3136
826139,1125
826139,114
826139,211
826140,1125
826140,114
826143,812
826143,403
826155,1239
826155,281
826155,403
826155,2341
826155,1816
826155,4878
826155,4880
826158,4492
826158,4429
826158,4479
826158,3235
826158,1865
826158,251
826162,4429
826162,4479
826162,3235
826162,1865
826162,251
826167,115
826167,4803
826167,2482
826167,73
