variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
826682,0,,,
826683,0,826016,,
826686,0,,,
826687,0,,,
826690,0,,,
826805,0,826017,,
826807,1,,,
826808,1,,,
826849,0,826017,,
826877,0,826016,,
826879,0,826016,,
826885,0,826016,,
826889,0,826017,,
826890,0,826016,,
826894,0,826016,,
826907,0,826017,,
826923,0,826016,,
826925,0,826016,,
826956,1,,,
826960,0,,,
826998,0,,,
827013,0,826017,,
827040,0,,,
827049,1,,,
827053,0,,,
827055,0,,,
827066,1,,,
827067,1,,,
827069,0,,,
827070,0,,,
827072,0,,,
827076,0,,,
827082,1,,,
827084,0,,,
827085,0,,,
827095,0,826017,,
827099,0,826017,,
827103,0,,,
827104,0,826016,,
827106,0,,,
827107,0,,,
827108,0,,,
827118,1,,,
827120,1,,,
827121,1,,,
827122,1,,,
827123,1,,,
827124,1,,,
827125,1,,,
827144,0,826017,,
827146,0,826017,,
827147,0,826016,,
827149,0,826016,,
827154,0,826016,,
827163,0,826016,,
827165,0,826016,,
827191,1,,,
827195,0,,,
827196,0,,,
827197,0,826017,281,
827211,1,,,
827212,0,,,
827213,0,,,
827216,0,826017,,
827217,0,,,
827231,1,,,
827234,0,826016,,
827235,0,826017,,
827255,0,826016,,
827256,0,826017,,
827274,0,826017,,
827280,0,,,
827281,0,826016,,
827293,0,826017,,
827308,0,826016,,
827315,1,,,
827316,1,,,
827338,0,826017,,
827409,0,826017,,
827421,1,,,
827422,1,,,
827423,1,826017,,
827429,1,,,
827433,1,,,
827435,0,,,
827436,0,,,
827437,0,,,
827438,0,,,
827439,0,826017,,
827441,0,826016,,
827442,0,826016,,
827443,0,826017,,
827444,0,,,
827447,0,826017,,
827448,0,826017,,
827449,0,826017,,
827452,0,826017,,
827453,0,826016,,
827457,0,826017,281,
827458,0,,,
827461,0,826017,,
827462,0,826017,,
827463,0,826017,,
827467,0,,,
827472,0,,,
827473,0,826017,,
827475,0,826017,,
827479,0,,,
827480,0,826017,,
827486,1,,,
827487,0,826017,,
827489,0,826017,,
827490,1,,,
827491,0,826017,,
827519,1,,,
827527,0,826017,,
827653,0,826017,,
827654,0,,,
827658,0,,,
827660,0,826016,,
827663,0,826016,,
827664,0,,,
827764,0,826017,,
827770,1,,,
827773,1,,,
827774,0,826017,,
827776,0,,,
827777,0,,,
827778,0,826017,,
827779,0,826017,,
827781,1,,,
827783,0,,,
827786,1,,,
827787,1,,,
827792,1,,,
827793,1,,,
827796,1,,,
827797,1,,,
827802,1,,,
827805,1,,,
827810,1,,,
827811,1,,,
827813,0,826016,,
827814,0,,,
827815,0,826016,,
827816,0,,,
827823,0,,,
827833,0,,,
827834,0,,,
827835,0,,,
827836,0,826016,,
827837,0,826017,,
827840,0,826017,,
827852,0,826017,,
827857,0,,,
827858,0,,,
827859,0,826016,,
827861,0,826017,,
827865,0,826016,,
827866,0,,,
827883,1,,,
827885,0,,,
828265,1,,,
828266,1,,,
828267,1,,,
828268,1,,,
828269,1,,,
828270,1,,,
828272,1,,,
828273,0,,,
828274,0,,,
828277,0,,,
828278,0,,,
828279,0,,,
828280,0,,,
828282,0,,,
828283,0,,,
828284,0,,,
828287,0,,,
828288,0,,,
828289,0,,,
828290,0,,,
828291,0,,,
828292,0,,,
828293,0,,,
828295,0,,,
828296,0,,,
828297,0,,,
828298,0,,,
828300,0,,,
828301,0,,,
828302,0,,,
828303,0,,,
828304,0,,,
828305,0,,,
828306,0,,,
828307,0,,,
828308,0,,,
828309,0,,,
828310,0,,,
828311,0,,,
828313,0,,,
828314,0,,,
828315,0,,,
828318,1,,,
828332,0,826017,,
828341,1,,,
828342,1,,,
828351,0,,,
828352,0,,,
828355,0,826016,,
828362,0,826016,,
828363,0,,,
828364,0,826017,,
828365,0,826016,,
828367,0,,,
828368,1,,,
828369,1,,,
828371,0,,,
828372,0,,,
828373,1,,,
828374,0,,,
828375,0,,,
828441,1,,,
828442,1,,,
828443,0,,,
828444,0,826016,,
828446,0,826017,,
828447,0,,,
828451,1,,,
828452,1,,,
828453,1,,,
828454,1,,,
828455,1,,,
828456,1,,,
828457,1,,,
828458,1,,,
828459,0,826016,,
828460,0,826017,,
828461,0,,,
828466,0,826016,,
828468,0,826016,,
828471,0,,,
828472,0,,,
828473,0,826017,,
828474,0,826017,,
828480,0,826017,,
828481,0,,,
828482,0,826017,,
828485,0,826017,,
828486,0,826017,,
828487,0,826016,,
828488,0,826017,,
828489,0,,,
828490,0,826017,,
828491,0,826017,,
828493,0,826017,,
828496,0,,,
828497,0,,,
828498,0,,,
828499,0,826016,,
828500,0,826016,,
828501,0,826017,,
828505,0,826017,,
828506,0,826016,,
828508,0,826017,,
828509,0,826016,,
828510,0,826017,,
828511,0,826016,,
828514,0,826016,,
828517,0,826016,,
828520,0,,,
828524,0,826017,,
828526,0,826016,,
828530,1,,,
828562,0,826017,,
828563,0,826016,,
828566,0,826017,,
828572,0,826016,,
828577,0,826016,,
828601,0,826016,,
828611,1,,,
828620,0,826016,,
828621,0,826017,,
828625,0,826016,,
828632,0,826016,,
828663,0,,,
828673,0,826017,,
828674,0,826016,,
828675,0,826017,,
828676,0,,,
828682,0,,,
828683,0,826017,,
828684,0,826016,,
828693,1,,,
828694,1,,,
828695,0,,,
828696,0,,,
828697,0,826016,,
828698,0,826016,,
828699,0,,,
828702,0,,,
828703,0,826016,,
828706,1,,,
828707,1,,,
828708,0,826016,,
828709,0,826017,,
828710,0,,,
828711,0,,,
828712,0,,,
828713,0,,,
828714,0,,,
828716,0,,,
828717,0,826016,,
828718,0,826017,,
828719,1,,,
828721,0,826016,,
828722,1,,,
828723,1,,,
828725,0,,,
828726,0,,,
828727,0,,,
828728,0,,,
828734,0,,,
828735,0,,,
828744,1,,,
828745,1,,,
828796,0,826016,,
828797,0,826017,,
828803,0,826017,,
828812,0,826017,,
828825,0,,,
828826,1,,,
828827,1,,,
828828,1,,,
828829,1,,,
828830,1,,,
828831,1,,,
828832,1,,,
828833,1,,,
828834,1,,,
828835,1,,,
828836,1,,,
828837,1,,,
828838,1,,,
828839,1,,,
828840,1,,,
828841,1,,,
828842,1,,,
828843,1,,,
828844,0,,,
828845,0,,,
828847,0,,,
828848,0,,,
828850,0,,,
828851,0,,,
828852,0,,,
828853,0,,,
828854,0,,,
828856,0,,,
828857,0,,,
828858,0,,,
828860,0,,,
828861,0,,,
828863,0,,,
828864,0,,,
828865,0,,,
828866,0,,,
828867,0,,,
828868,0,,,
828872,0,,,
828873,0,,,
828874,0,,,
828879,0,,,
828882,0,,,
828883,0,,,
828884,0,,,
828885,0,,,
828886,0,,,
828888,0,,,
828889,0,,,
828890,0,,,
828892,0,,,
828893,0,,,
828895,0,,,
828896,0,,,
828897,0,,,
828898,0,,,
828899,0,,,
828900,0,,,
828901,0,,,
828902,0,,,
828903,0,,,
828904,0,,,
828905,0,,,
828906,0,,,
828908,0,,,
828909,0,,,
828912,0,,,
828913,0,,,
828914,0,,,
828915,0,,,
828918,0,,,
828920,0,,,
828922,0,,,
828925,0,,,
828926,0,,,
828929,0,,,
828931,0,,,
828933,0,,,
828934,0,,,
828936,0,,,
828937,0,,,
828938,0,,,
828939,0,,,
828940,0,,,
828941,0,,,
828942,0,,,
828943,0,,,
828945,0,,,
828946,0,,,
828947,0,,,
828948,0,,,
828992,0,,,
829002,1,,,
829006,1,,,
829013,1,,,
829014,1,,,
829017,0,,,
829023,0,826017,,
829025,0,,,
829026,0,,,
829027,0,,,
829028,0,826016,,
829029,0,,,
829030,0,826017,,
829035,0,826017,,
829036,0,,,
829042,0,826016,,
829043,0,826017,,
829046,0,,,
829050,0,,,
